"OrigStationName","LocationID","SurveyDate","Datetime","TEMP_WATER","DO","DO_SAT","COD","BOD5","PH","ALK","TSS","TS","TKN","NH3","NO3","TP","TCOLI","FCOLI","CHLORIDE","HARDNESS","SULFATE DATA","ARSENIC DATA","BARIUM DATA","CADMIUM","CHROMIUM","COPPER","IRON","LEAD","MANGANESE","MERCURY DATA","NICKEL","SELENIUM DATA","SILVER DATA","SODIUM DATA","VANADIUM DATA","ZINC"
"MY10","UPL001","1980-10-28","1980-10-28 09:57:00","48","7.7","66","49","2.1","7","35","1.5","244","2.5","0.95","1","0.1","2,800","240","","","","<.001","0.029","","<.01","<.01","0.07","<.01","","< 0.0001","<.001","<.001","<.001","","<.01","0.03"
"MY10","UPL001","1981-02-26","1981-02-26 10:10:00","40","8.8","67","41","2.7","6.9","36","2","246","3.2","3.1","1.7","0.1","3,500","700","78","","43","<.001","<.004","<.01","<.01","<.01","0.24","<.01","","","","","","55","","0.08"
"MY10","UPL001","1981-07-29","1981-07-29 10:15:00","75","8","94","44","9.6","8.3","35","12.5","258","1.4","0.05","1.5","0.05","300","20","58","84","","","0.03","<.01","","0.01","0.24","<.01","","","","","","50","","0.01"
"MY11","MYR071","1979-06-27","1979-06-27 08:33:00","68","7.5","83","7.5","","7.7","47","9.5","252","3.3","1.4","1.1","0.06","1,600","100","83","","","","","","","","","","","","","","","","",""
"MY11","MYR071","1979-08-06","1979-08-06 15:20:00","80","8.6","109","","3.6","8","40","6","264","1.2","0.02","1","0.18","740","400","78","","","","","","","","","","","","","","","","",""
"MY11","MYR071","1979-12-12","1979-12-12 14:14:00","49","3.5","31","33","2.1","7.8","50","3.5","312","2.4","1.2","1.1","0.03","1,600","300","","","","","","","","","","","","","","","","","",""
"MY11","MYR071","1980-05-13","1980-05-13 14:40:00","62","9","92","47","6","7.5","33","20","244","2.4","1.2","1.5","0.16","180,000","10,000","61","","29","0.003","0.03","<.01","<.01","<.01","0.35","0.1","0.12","0.0002","<.001","<.001","<.01","36","<.01","0.06"
"MY11","MYR071","1980-10-28","1980-10-28 09:38:00","45","5.7","48","49","24","7.1","54","3","344","2.7","0.82","0.5","0.1","1,300","200","","","","<.001","0.038","","<.01","<.01","0.18","0.02","","0.0001","<.001","<.001","<.001","","<.01","0.02"
"MY11","MYR071","1981-02-26","1981-02-26 10:00:00","41","10.5","82","32","2.7","7.2","47","5","304","1.7","0.98","1","0.1","700","100","103","","38","0.007","0.02","<.01","<.01","<.01","0.23","0.02","","","","","","72","","0.04"
"MY11","MYR071","1981-07-29","1981-07-29 10:05:00","74","5.9","68","25","6","7.8","37","7.5","288","1","0.06","1.3","0.06","18,000","3,800","79","73","","","0.03","<.01","","0.01","0.2","<.01","","","","","","44","","0.02"
